"weight";"lat";"lon"
"170";"48.14";"15.313"
"170";"48.06";"14.153"
"170";"48.05";"14.853"
"170";"47.62";"11.863"
"169";"48.32";"14.493"
"169";"48.25";"14.723"
"169";"48.15";"15.273"
"169";"48.07";"14.823"
"169";"48.06";"15.133"
"168";"49.2";"15.063"
"168";"48.74";"15.133"
"168";"48.51";"15.083"
"168";"48.43";"14.583"
"168";"48.27";"14.763"
"168";"48.27";"14.753"
"168";"48.1";"14.813"
"168";"48.05";"15.163"
"167";"49.25";"14.873"
"167";"49.03";"15.893"
"167";"48.95";"15.003"
"167";"48.91";"15.063"
"167";"48.75";"15.093"
"167";"48.45";"14.443"
"167";"48.36";"15.613"
"167";"48.26";"14.813"
"167";"48.06";"14.183"
"167";"48.04";"14.863"
"166";"49.14";"15.403"
"166";"48.32";"14.583"
"166";"47.9";"15.143"
"166";"47.57";"11.963"
"165";"49.27";"14.983"
"165";"49.16";"15.413"
"165";"48.45";"15.813"
"165";"48.39";"15.693"
"165";"48.29";"14.683"
"165";"48.27";"14.713"
"165";"48.27";"14.703"
"165";"48.25";"14.733"
"165";"48.19";"14.933"
"165";"48.1";"14.673"
"165";"48.04";"14.723"
"165";"47.89";"14.743"
"165";"47.79";"14.713"
"164";"49.27";"15.003"
"164";"49.21";"15.243"
"164";"49.15";"15.333"
"164";"49.04";"15.853"
"164";"48.97";"14.283"
"164";"48.25";"14.823"
"164";"48.23";"14.993"
"164";"48.18";"15.123"
"164";"48.06";"14.193"
"164";"48.05";"15.283"
"163";"48.47";"14.003"
"163";"48.3";"15.473"
"163";"48.28";"14.743"
"163";"48.12";"14.763"
"163";"48.07";"14.883"
"163";"48.05";"14.783"
"163";"47.91";"14.573"
"163";"47.9";"15.153"
"163";"47.59";"11.923"
"162";"49.07";"15.713"
"162";"48.51";"15.743"
"162";"48.46";"15.853"
"162";"48.46";"15.843"
"162";"48.46";"14.383"
"162";"48.33";"14.533"
"162";"48.33";"14.513"
"162";"48.27";"14.833"
"162";"48.25";"14.743"
"162";"48.12";"15.393"
"162";"48.06";"14.623"
"162";"47.91";"14.583"
"161";"49.13";"15.373"
"161";"49.1";"15.573"
"161";"48.41";"14.723"
"161";"48.4";"14.793"
"161";"48.33";"15.203"
"161";"48.31";"15.493"
"161";"48.3";"14.473"
"161";"48.28";"15.433"
"161";"48.15";"15.283"
"161";"48.05";"14.833"
"161";"48.04";"14.933"
"161";"47.94";"14.663"
"161";"47.54";"12.013"
"160";"48.36";"14.473"
"160";"48.28";"14.663"
"160";"48.15";"15.243"
"160";"48.06";"14.143"
"160";"47.89";"14.863"
"160";"47.89";"14.793"
"160";"47.78";"14.733"
"159";"49.23";"15.183"
"159";"48.51";"15.963"
"159";"48.19";"14.963"
"159";"48.18";"15.153"
"159";"48.15";"15.123"
"159";"48.11";"14.753"
"159";"48.03";"14.863"
"158";"49.42";"15.203"
"158";"48.52";"15.483"
"158";"48.51";"15.713"
"158";"48.45";"15.823"
"158";"48.37";"15.643"
"158";"48.36";"15.043"
"158";"48.16";"15.143"
"158";"48.14";"14.653"
"158";"48.12";"14.673"
"158";"48.1";"14.723"
"158";"48.06";"14.223"
"158";"47.9";"15.383"
"158";"47.89";"14.753"
"158";"47.87";"14.543"
"157";"48.51";"15.703"
"157";"48.37";"14.453"
"157";"48.35";"14.513"
"157";"48.33";"15.213"
"157";"48.14";"14.663"
"157";"48.11";"15.413"
"157";"48.11";"14.773"
"157";"48.05";"15.153"
"157";"47.9";"15.373"
"156";"49.42";"15.193"
"156";"49.13";"15.393"
"156";"48.51";"15.683"
"156";"48.46";"14.033"
"156";"48.38";"14.473"
"156";"48.29";"14.703"
"156";"48.25";"15.373"
"156";"48.1";"15.023"
"156";"48.06";"15.123"
"156";"48.06";"15.073"
"156";"47.95";"14.683"
"156";"47.89";"14.873"
"155";"48.98";"15.533"
"155";"48.32";"14.503"
"155";"48.24";"14.773"
"155";"48.17";"15.173"
"155";"48.13";"15.353"
"155";"48.13";"15.103"
"155";"47.99";"14.803"
"155";"47.9";"14.893"
"154";"49.12";"15.473"
"154";"48.67";"15.063"
"154";"48.4";"14.773"
"154";"48.37";"14.443"
"154";"48.36";"14.243"
"154";"48.22";"14.843"
"154";"47.89";"14.923"
"154";"47.54";"12.023"
"153";"49.03";"15.873"
"153";"48.42";"14.203"
"153";"48.39";"14.813"
"153";"48.38";"14.363"
"153";"48.33";"14.443"
"153";"48.3";"14.563"
"153";"48.12";"14.713"
"153";"48.05";"15.273"
"153";"48.05";"14.843"
"153";"47.9";"15.133"
"153";"47.78";"14.723"
"152";"49.14";"15.363"
"152";"48.52";"15.493"
"152";"48.46";"14.373"
"152";"48.35";"14.423"
"152";"48.33";"14.543"
"152";"48.28";"14.653"
"152";"48.13";"14.663"
"152";"48.08";"14.783"
"152";"47.9";"15.093"
"151";"48.98";"14.933"
"151";"48.98";"14.923"
"151";"48.43";"15.763"
"151";"48.33";"15.223"
"151";"48.31";"15.503"
"151";"48.19";"14.953"
"151";"47.9";"15.053"
"151";"47.83";"14.623"
"150";"49.04";"15.863"
"150";"48.54";"16.023"
"150";"48.48";"14.523"
"150";"48.38";"14.483"
"150";"48.35";"14.533"
"150";"48.33";"14.453"
"150";"48.29";"15.453"
"150";"48.25";"14.753"
"150";"48.23";"14.823"
"150";"48.19";"15.063"
"150";"48.13";"15.063"
"150";"48.07";"14.943"
"150";"47.9";"15.173"
"150";"47.89";"14.773"
"149";"49.22";"14.963"
"149";"49";"14.873"
"149";"48.71";"14.963"
"149";"48.71";"14.943"
"149";"48.49";"13.913"
"149";"48.4";"14.783"
"149";"48.34";"14.403"
"149";"48.32";"14.553"
"149";"47.9";"15.103"
"149";"47.9";"14.903"
"149";"47.89";"14.553"
"148";"49.47";"15.213"
"148";"49.1";"15.453"
"148";"48.87";"15.173"
"148";"48.71";"14.653"
"148";"48.51";"15.693"
"148";"48.33";"14.503"
"148";"48.32";"15.253"
"148";"48.31";"15.353"
"148";"48.3";"14.553"
"148";"48.28";"14.673"
"148";"48.21";"14.883"
"148";"48.16";"14.683"
"148";"48.11";"14.763"
"148";"48.09";"14.753"
"148";"47.9";"15.183"
"148";"47.9";"14.883"
"148";"47.89";"14.853"
"148";"47.89";"14.783"
"148";"47.8";"14.683"
"147";"49.23";"15.173"
"147";"48.37";"15.633"
"147";"48.32";"14.483"
"147";"48.3";"14.483"
"147";"48.04";"14.713"
"147";"47.91";"14.593"
"147";"47.88";"14.533"
"146";"49.22";"15.223"
"146";"49.22";"15.193"
"146";"49.12";"15.503"
"146";"48.47";"14.013"
"146";"48.35";"14.433"
"146";"48.35";"14.393"
"146";"48.34";"14.413"
"146";"48.28";"14.723"
"146";"48.27";"14.773"
"146";"48.11";"15.433"
"146";"48.11";"14.653"
"146";"47.89";"14.933"
"145";"49.19";"15.123"
"145";"49.08";"15.693"
"145";"48.99";"14.243"
"145";"48.45";"14.453"
"145";"48.36";"14.413"
"145";"48.34";"15.563"
"145";"48.33";"15.243"
"145";"48.04";"14.843"
"145";"47.79";"14.703"
"145";"47.61";"11.883"
"144";"49.23";"15.163"
"144";"49.21";"15.003"
"144";"48.97";"15.533"
"144";"48.39";"14.973"
"144";"48.39";"14.283"
"144";"48.29";"15.443"
"144";"48.22";"14.833"
"144";"47.9";"15.123"
"143";"48.71";"14.973"
"143";"48.57";"16.093"
"143";"48.33";"14.523"
"143";"48.29";"14.753"
"143";"48.28";"14.793"
"143";"48.26";"14.693"
"143";"48.19";"14.833"
"143";"48.14";"15.303"
"143";"48.11";"14.743"
"143";"48.1";"15.473"
"143";"48.08";"14.853"
"143";"48.06";"15.023"
"143";"47.89";"14.593"
"142";"49.16";"15.213"
"142";"48.48";"14.513"
"142";"48.43";"14.153"
"142";"48.33";"14.493"
"142";"48.32";"15.523"
"142";"48.3";"15.403"
"142";"48.23";"14.943"
"142";"48.19";"15.213"
"142";"48.14";"15.293"
"142";"48.07";"14.793"
"142";"48.06";"15.083"
"142";"48.06";"14.213"
"141";"49.23";"14.943"
"141";"49.17";"15.263"
"141";"49.15";"15.233"
"141";"48.57";"16.103"
"141";"48.44";"14.143"
"141";"48.31";"15.343"
"141";"48.3";"15.193"
"141";"48.28";"15.413"
"141";"48.12";"14.733"
"141";"48.1";"14.663"
"141";"48.07";"14.853"
"141";"48.06";"14.313"
"141";"48.04";"14.793"
"140";"49.18";"15.393"
"140";"49.06";"15.703"
"140";"48.52";"15.523"
"140";"48.51";"15.723"
"140";"48.49";"15.903"
"140";"48.43";"15.783"
"140";"48.22";"14.973"
"140";"48.19";"14.943"
"140";"48.16";"15.133"
"140";"48.14";"14.633"
"140";"48.05";"14.793"
"140";"47.9";"15.193"
"140";"47.89";"14.913"
"139";"49.26";"14.973"
"139";"49.15";"15.303"
"139";"49.07";"15.733"
"139";"48.42";"14.623"
"139";"48.38";"14.283"
"139";"48.28";"14.733"
"139";"48.23";"15.003"
"139";"48.19";"14.863"
"139";"48.13";"14.693"
"139";"48.01";"14.873"
"139";"47.79";"14.723"
"138";"49.18";"15.183"
"138";"49.15";"15.253"
"138";"49.13";"15.443"
"138";"49.04";"15.873"
"138";"48.52";"15.473"
"138";"48.41";"14.683"
"138";"48.35";"14.413"
"138";"48.26";"14.703"
"138";"48.21";"14.873"
"138";"48.16";"14.673"
"138";"48.15";"15.233"
"138";"48.15";"14.703"
"138";"48.08";"14.713"
"138";"47.9";"15.083"
"138";"47.86";"14.563"
"137";"48.87";"15.163"
"137";"48.87";"15.153"
"137";"48.71";"14.663"
"137";"48.45";"14.093"
"137";"48.39";"14.873"
"137";"48.38";"14.913"
"137";"48.38";"14.373"
"137";"48.3";"14.573"
"137";"48.19";"14.923"
"137";"48.16";"14.523"
"137";"48.06";"14.123"
"137";"47.96";"15.063"
"137";"47.9";"15.403"
"137";"47.9";"15.313"
"137";"47.89";"14.613"
"137";"47.61";"11.873"
"136";"49.25";"15.063"
"136";"49.2";"15.093"
"136";"49.18";"15.163"
"136";"48.49";"13.923"
"136";"48.38";"14.353"
"136";"48.36";"15.003"
"136";"48.26";"14.913"
"136";"48.06";"14.253"
"136";"48.05";"15.263"
"136";"48.02";"15.063"
"136";"48.02";"14.233"
"136";"47.91";"14.793"
"136";"47.9";"15.203"
"136";"47.9";"15.113"
"135";"49.17";"15.203"
"135";"48.97";"15.543"
"135";"48.47";"15.853"
"135";"48.4";"14.763"
"135";"48.37";"14.463"
"135";"48.35";"14.403"
"135";"48.33";"15.153"
"135";"48.31";"14.563"
"135";"48.26";"14.743"
"135";"48.2";"15.233"
"135";"48.18";"14.973"
"135";"48.07";"14.833"
"135";"48.06";"14.233"
"135";"48.05";"14.953"
"135";"47.62";"11.853"
"134";"49.3";"14.863"
"134";"49.1";"15.563"
"134";"49.04";"15.723"
"134";"49.01";"15.743"
"134";"49";"14.883"
"134";"48.47";"15.863"
"134";"48.24";"14.823"
"134";"48.22";"14.853"
"134";"48.22";"14.803"
"134";"48.19";"14.843"
"134";"48.14";"14.723"
"134";"48.06";"14.323"
"134";"48.03";"14.963"
"134";"47.9";"15.033"
"134";"47.9";"14.843"
"134";"47.89";"14.763"
"133";"49.23";"15.153"
"133";"49.11";"15.443"
"133";"49.07";"15.743"
"133";"48.44";"15.803"
"133";"48.35";"15.593"
"133";"48.32";"15.513"
"133";"48.26";"14.723"
"133";"48.24";"14.893"
"133";"48.24";"14.873"
"133";"48.19";"14.613"
"133";"48.13";"14.633"
"133";"48.12";"14.723"
"133";"48.11";"14.643"
"133";"48.06";"15.043"
"133";"48.05";"14.963"
"133";"48.03";"14.733"
"133";"47.96";"14.693"
"133";"47.58";"11.943"
"132";"49.28";"14.723"
"132";"49.21";"14.963"
"132";"49.15";"15.243"
"132";"48.96";"14.303"
"132";"48.52";"15.513"
"132";"48.47";"15.873"
"132";"48.46";"14.393"
"132";"48.43";"14.753"
"132";"48.36";"15.113"
"132";"48.35";"14.463"
"132";"48.34";"14.583"
"132";"48.28";"14.713"
"132";"48.23";"15.283"
"132";"48.23";"15.013"
"132";"48.23";"14.803"
"132";"48.2";"15.223"
"132";"48.18";"15.113"
"132";"48.17";"15.013"
"132";"48.13";"15.073"
"132";"48.06";"14.303"
"132";"47.92";"14.623"
"132";"47.9";"14.573"
"132";"47.89";"14.693"
"132";"47.86";"14.573"
"132";"47.58";"11.933"
"131";"49.21";"14.993"
"131";"49.15";"15.273"
"131";"49.13";"15.463"
"131";"49.03";"15.863"
"131";"48.51";"15.673"
"131";"48.45";"14.663"
"131";"48.36";"14.493"
"131";"48.35";"15.173"
"131";"48.32";"15.323"
"131";"48.32";"15.313"
"131";"48.31";"14.553"
"131";"48.31";"14.543"
"131";"48.29";"14.673"
"131";"48.29";"14.663"
"131";"48.29";"14.553"
"131";"48.18";"14.983"
"131";"48.14";"14.623"
"131";"48.13";"14.623"
"131";"48.12";"14.653"
"131";"48.08";"14.793"
"131";"48.06";"14.133"
"131";"47.91";"14.773"
"131";"47.89";"14.883"
"130";"49.27";"14.733"
"130";"49.11";"15.453"
"130";"49.06";"15.713"
"130";"48.99";"14.233"
"130";"48.86";"15.163"
"130";"48.67";"14.793"
"130";"48.56";"16.083"
"130";"48.51";"15.653"
"130";"48.34";"14.473"
"130";"48.34";"14.463"
"130";"48.33";"15.063"
"130";"48.32";"14.433"
"130";"48.27";"14.673"
"130";"48.25";"14.813"
"130";"48.24";"14.783"
"130";"48.18";"14.423"
"130";"48.14";"15.093"
"130";"48.12";"14.753"
"130";"48.12";"14.663"
"130";"48.07";"14.913"
"130";"48.06";"14.603"
"130";"48.04";"14.853"
"130";"47.94";"14.653"
"130";"47.91";"14.563"
"130";"47.9";"15.163"
"130";"47.89";"14.733"
"130";"47.85";"14.583"
"130";"47.84";"14.603"
"130";"47.79";"14.733"
"130";"47.59";"11.913"
"129";"49.22";"14.953"
"129";"48.61";"15.583"
"129";"48.37";"15.003"
